Country,q#3,q#4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14,q#15,q#16,population,median_age,# of people aged 65 older,# of people aged 70 older,economic performance,death rates due to heart disease,diabetes prevalence,#of female smokers,#of male smokers,handwashing facilities,hospital beds per thousand people,life expectancy,human development index
Australia,29499.0,910.0,0.38,2.45,1.0267164179104482,0.17598326751699306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4357.0,101274.0,41350.0,412746171.1416282,16264597.0,0.0,0.038,0.0020312500000000014,2.4896836163584177e-05,26.4,15342.2,2752.9554687500017,6630184.585745487,159294.0,0.0,1420577.0,25499881.0,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,0.0,3.84,83.44,0.944
Austria,589299.0,9843.0,0.44,3.13,1.108267326732672,0.16409995751466971,6.0,709.0,228.40053050397879,43581.906851233594,52.0,3985.0,1044.076923076923,1134550.2206244343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2376.0,2945871.0,73642.4323607427,33932780342.232452,27703138.0,0.004,0.247,0.05666171003717469,0.004313834651370015,4.1,249.1,64.59070631970258,3992.8709716807753,1658035.0,676423.0,2334458.0,9006400.0,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,0.0,7.37,81.54,0.922
Azerbaijan,296374.0,4077.0,0.41,1.85,1.097746113989637,0.10999626648675997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859338.0,439985.0,1299323.0,10139175.0,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
Bahamas,9634.0,194.0,0.18,2.25,1.0015548780487809,0.15011965509824277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,15000.0,393248.0,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,0.0,2.9,73.92,0.814
Bahrain,162089.0,581.0,0.85,1.49,1.0844776119402988,0.020773854640207458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,23177.0,10003.47435897436,18410753.387992263,3852868.0,0.009,0.079,0.03963840399002491,0.00028407859375,12.6,110.9,31.872319201995044,328.971846,586279.0,456184.0,1042463.0,1701583.0,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,0.0,2.0,77.29,0.852
Bangladesh,711779.0,10182.0,0.79,2.79,1.1167999999999998,0.12089567617032229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,34968.0,12567.641277641278,41894814.772792354,5115138.0,0.009,0.243,0.12700749999999997,0.00438365324338415,4.1,113.1,12.900250000000003,177.49172040376632,5686885.0,930151.0,6617036.0,164689383.0,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
Barbados,3765.0,44.0,0.43,1.21,0.8888172043010751,0.043659971015992956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66069.0,0.0,66069.0,287371.0,39.8,14.952,9.473,16978.068,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
Belarus,341539.0,2403.0,0.66,2.66,1.0888481675392683,0.10679630203704854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,21452.0,9315.169811320755,20334565.328402366,5608959.0,0.001,0.122,0.05597518610421837,0.0011516137719363383,8.2,1424.2,41.984863523573196,9032.031701504913,92000.0,26100.0,66618.0,9449321.0,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,0.0,11.0,74.79,0.823
Belgium,943213.0,23681.0,0.62,2.77,1.1268965517241374,0.16991816857186406,23.0,1474.0,457.51269035532994,162002.49353508276,130.0,7461.0,2150.555837563452,3499965.126443033,0.0,0.0,0.0,0.0,70.408,4759.588,1143.7328448275862,1258815.8281696963,82.0,87170.0,28863.715328467155,399094921.291737,11862987.0,0.009,0.327,0.0829481481481482,0.005848669517694344,3.1,111.1,26.652098765432154,700.4447477575729,2204943.0,696692.0,2901635.0,11589616.0,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,0.0,5.64,81.63,0.931
Belize,12538.0,318.0,0.52,1.4,0.9130830039525699,0.05327129472159233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29939.0,0.0,29939.0,397621.0,25.0,3.853,2.279,7824.362,176.957,17.11,0.0,0.0,90.083,1.3,74.62,0.716
